w1,w2,w3,Accurate,
0.224518885,-0.203969605,0.132414358,0.4,
-0.690497223,-1.4527146,-1.018394431,0.6,
0.770415871,0.228155307,-0.418893749,0.44,
0.015949734,0.555819663,0.600054902,0.5,
0.266760342,0.56422417,0.389279795,0.5,
0.778298015,-0.174680231,-0.507441674,0.36,
0.116021586,0.117730442,0.251545361,0.4,
-0.335813126,-0.637089276,-0.128572052,0.5,
0.505025711,0.086544368,0.553098761,0.42,
-0.106721109,0.409926582,0.094182437,0.4,
0.308125639,0.334653145,-0.571754346,0.4,
0.165195212,0.624659363,0.512836489,0.5,
-0.174625027,0.042914066,0.484424541,0.4,
0.23319361,-0.793319874,-0.966908198,0.5,
0.128712901,0.148305686,-0.703413448,0.38,
0.163746511,0.272426449,0.376858293,0.38,
-0.00641031,-0.332402724,0.596215457,0.42,
-0.106102499,0.419076952,0.537976706,0.44,
0.316021844,-0.43553934,-0.537942961,0.42,
-0.131708544,0.549859154,-0.407962472,0.42,
0.550805748,0.077858477,-0.44665193,0.42,
0.009083196,-0.022009924,-0.022896066,0.4,
0.310095071,0.638211531,0.52115946,0.5,
0.395614229,0.64362949,0.01912879,0.52,
0.277675798,0.346467314,0.398185649,0.5,
-0.075324603,0.656525628,0.271305772,0.44,
0.229061345,-0.206631576,0.373939467,0.4,
0.51036599,0.404014306,0.34473998,0.5,
0.600690924,0.067281951,0.218504325,0.44,
0.792008893,-0.375238578,0.000108914,0.38,
0.712065272,0.600192393,-0.120728909,0.52,
0.619796456,0.163370639,0.110754591,0.48,
-0.173856929,-0.53015542,-0.228937208,0.48,
-0.00721694,-0.124599246,0.271661005,0.4,
0.715523551,0.139080183,0.212374301,0.46,
-0.120697029,0.253930449,-0.125437862,0.4,
0.744896914,-0.380654086,0.63794906,0.4,
0.789399017,0.019088176,0.49622307,0.46,
0.635513863,-0.281126258,-0.331591642,0.4,
0.436234936,0.191057314,0.533847074,0.48,
0.697631586,0.439905923,0.299193935,0.5,
-0.063429713,-0.339979545,0.432324556,0.42,
0.583096166,-0.106555292,0.485882434,0.4,
-0.219610571,0.041048668,0.267329984,0.4,
0.582745185,0.039047914,0.346856806,0.46,
0.803391708,-0.170477517,0.638933333,0.42,
0.465644181,0.527928201,0.517347507,0.5,
0.581278275,-0.340385649,0.097367785,0.42,
-0.114840631,-0.048881196,0.65630676,0.38,
0.312952819,0.001951253,-0.456259932,0.4,
0.074675519,0.43412311,0.653494671,0.5,
0.560397618,0.147259115,0.617527913,0.46,
0.71136127,-0.08572318,0.430109552,0.44,
0.690713157,0.33384324,0.011337649,0.48,
0.533113802,-0.310418001,0.506109871,0.42,
0.478303382,0.56320068,0.089344806,0.52,
0.331413421,-0.216986755,0.428098241,0.42,
0.40494977,0.608217057,0.151595705,0.5,
0.304049666,0.3498397,0.647843514,0.5,
0.677085929,-0.030106468,0.053060844,0.42,
0.694374303,0.495384823,-0.041386435,0.52,
0.629043538,-0.547650209,0.080697655,0.4,
0.118960182,0.398116514,0.109737569,0.44,
0.276183671,-0.489330011,0.41425976,0.4,
0.501199828,-0.69033251,-0.637332882,0.4,
0.235088724,0.460157823,0.349180766,0.5,
-0.454037907,-0.894780694,-1.628442661,0.4,
-0.229928366,-0.178053056,0.453219001,0.4,
-0.034061802,0.626304356,-0.010970569,0.48,
0.671170598,0.093121206,0.095990654,0.46,
0.215711532,0.000803934,-0.438675057,0.4,
0.810096108,-0.047868794,0.414746315,0.46,
0.183081909,-0.0693746,0.429311507,0.42,
-0.202925016,-0.493003592,0.187181539,0.4,
0.633973032,0.463253965,0.090730488,0.52,
0.311846988,0.452537407,0.631869235,0.5,
0.335202865,0.210760162,0.086055471,0.4,
-0.043319416,0.493234515,0.50069167,0.44,
0.085129979,0.287950702,0.581668632,0.4,
0.636636617,-0.284444307,0.308659823,0.38,
-0.179117235,0.603246003,0.636749377,0.44,
0.198331565,-1.119718343,-1.236634158,0.4,
0.098754305,-0.94249605,-1.346017632,0.4,
-0.255200622,-0.026951251,-0.295223829,0.4,
